sku,title,primary_path,mottaro_path,is_multi_category
MA007-1,"Motarro Thumbtack – 40 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MP083,"Motarro Paintbrush – Synthetic Fiber, Set Of 3","Arts and Crafts > Art Supplies > Brushes & Applicators","mottaro > mottaro-art-supplies > mottaro-brushes-applicators",yes
ME119-1,"Motarro Felt Bag – Black, 25x30cm, 70g, 5 pcs","Arts and Crafts > Crafts > Felt Bags","mottaro > mottaro-crafts > mottaro-felt-bags",yes
MI020-3-PNK,"Motarro Stapler With Staples – Pink, Stapler 42x70mm","Stationery > School & Office > Stapling","mottaro > mottaro-school-office > mottaro-stapling",yes
ME402-18,"Motarro – Stones, 0.8-1.2cm","Arts and Crafts > Crafts > Decorative Items","mottaro > mottaro-crafts > mottaro-decorative-items",yes
MA024-4,"Motarro Magnets – 17 pcs","Stationery > School & Office > Magnets","mottaro > mottaro-school-office > mottaro-magnets",yes
MC041-6,"Motarro Permanent Marker – Fine Liners, Black, 0.4mm, 3 pcs","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MP040-10,"Motarro Acrylic Paint – Orange Yellow, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
ME095-7,"Motarro LED Numbers Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
MU215-1,"Motarro Hole Reinforcement Stickers – 250 pcs","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
MP040-16,"Motarro Acrylic Paint – Yellow Green, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MP129-3,"Motarro A3 Sketch Pad – 80 Sheets, 297x400mm","Arts and Crafts > Art Supplies > Sketch & Draw","mottaro > mottaro-art-supplies > mottaro-sketch-draw",yes
MC007-13,"Motarro Textile Marker – 2-3mm, 5 pcs","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MP040-24,"Motarro Acrylic Paint – Complexion, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MT001-7-BLU,"Motarro Tape Despenser – Blue, 147x57x75mm","Stationery > School & Office > Glues and Adhesive Tape > Adhesives and Holders","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-adhesives-holders",yes
MK078-1-PNK,"Motarro Sharpener – Pink","Stationery > School & Office > Sharpeners","mottaro > mottaro-school-office > mottaro-sharpeners",yes
MA006-2,"Motarro Thumbtack – 9mm, Silver, 100 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MC071,"Motarro Tattoo Gel Pens – 6 pcs","Arts and Crafts > Crafts > Decorative Items","mottaro > mottaro-crafts > mottaro-decorative-items",yes
MP133-4,"Motarro Canvas Panel 25x20cm","Arts and Crafts > Art Supplies > Canvas > Panel","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-panel",yes
MP156-BLU,"Motarro Painting Apron – Blue, 600x430mm","Arts and Crafts > Art Supplies > Aprons","mottaro > mottaro-art-supplies > mottaro-art-aprons",yes
MK074,"Motarro Transparent Glue 50ml","Stationery > School & Office > Glues and Adhesive Tape > Glues","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-glues",yes
MC096-3,"Motarro Colour Pencils – 24 Colours","Stationery > School & Office > Writing & Correction > Colour Pencils and Crayons","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-colour-pencils-crayons",yes
ME095-T,"Motarro LED Letter Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
ME047-2-BLU,"Motarro Cutting Mat – Blue, A3, 450x300mm","Stationery > School & Office","mottaro > mottaro-school-office",yes
MI020-3-BLU,"Motarro Stapler With Staples – Blue, Stapler 42x70mm","Stationery > School & Office > Stapling","mottaro > mottaro-school-office > mottaro-stapling",yes
MC069-3,"Motarro Permanent Marker – 1-2mm, 6 pcs","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MA055-BLU,"Motarro Pencil Sharpener – Blue, 58mm, 3 pcs","Stationery > School & Office > Sharpeners","mottaro > mottaro-school-office > mottaro-sharpeners",yes
MT001-4-BLU,"Motarro Tape Dispenser – Blue, 192x73x86mm","Stationery > School & Office > Glues and Adhesive Tape > Adhesives and Holders","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-adhesives-holders",yes
MI020-8-BLU,"Motarro Stapler With Staples – Blue, 6mm, 2 pcs","Stationery > School & Office > Stapling","mottaro > mottaro-school-office > mottaro-stapling",yes
MA015-5,"Motarro Keychain – 77mm, 1 pcs","Jewellery > Findings","mottaro > mottaro-other > mottaro-other-beads",yes
MU130-4,"Motarro Craft Stickers – Unicorn","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
ME046-7,"Motarro Assorted Stamps – 25mm, 6 pcs","Stationery > School & Office > Stamps & Ink","mottaro > mottaro-school-office > mottaro-stamps-ink",yes
MU031-1,"Motarro Adhesive Labels – 5 Sheets","Stationery > School & Office > Labels & Notes","mottaro > mottaro-school-office > mottaro-labels-notes",yes
ME095-U,"Motarro LED Letter Light – 22cm","Arts and Crafts > Crafts > Lights","mottaro > mottaro-crafts > mottaro-crafts-lights",yes
ME038-1,"Motarro Hot Glue Gun – 4 pcs","Stationery > School & Office > Glues and Adhesive Tape > Glues","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-glues",yes
MN004-5,"Motarro Binder Clip – 145mm, 1 pcs","Stationery > School & Office > Fasteners & Clips","mottaro > mottaro-school-office > mottaro-fasteners-clips",yes
MP125-3,"Motarro Watercolour Pad – 5 Sheets, 297x400mm","Arts and Crafts > Art Supplies > Sketch & Draw","mottaro > mottaro-art-supplies > mottaro-sketch-draw",yes
MK032,"Motarro Pencil Sharpener Pack – 2 pcs","Stationery > School & Office > Sharpeners","mottaro > mottaro-school-office > mottaro-sharpeners",yes
ME039-2,"Motarro Silicone Bars Hot Glue Sticks – 6 pcs","Stationery > School & Office > Glues and Adhesive Tape > Glues","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-glues",yes
MI019-6-RED,"Motarro Kids Scissors – Red, 130cm","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
ME035-1,"Motarro Air Clay – Red, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
MT002,"Motarro Carton Sealer","Stationery > School & Office","mottaro > mottaro-school-office",yes
MC031-11,"Motarro Permanent Marker – 3mm, 4 pcs","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
[OBJECT OBJECT],"MOTARRO ACRYLIC PAINT - AZURE - 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MQ003-1-BLK,"MOTARRO CLIPBOARD | BLACK | 23x31.5cm (MQ003-1)","Stationery > School & Office > Clipboards","mottaro > mottaro-school-office > mottaro-clipboards",yes
MP130-51,"Motarro Canvas Stretch A3 – 29.7x42cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
ME035-10,"Motarro Air Clay – Yellow, 60g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
MC029-3-PNK,"Motarro Mechanical Pencil And Lead Refills – Pink, 0.5mm, 2 pcs","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
MK013-PNK,"Motarro Eraser With Cover – Pink, 3 pcs","Stationery > School & Office > Writing & Correction > Correction and Erasing","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-correction-erasing",yes
MC045-15-BLU,"MOTARRO ACRYLIC PAINT - AZURE - 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MI019-8-RED,"Motarro Kids Scissors Floral – Red","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
MP169-3-DPNK,"Motarro Acrylic Paint – Metallic, Dark Pink, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MA057-1-RED,"Motarro Paper Clips – Red, 50 pcs","Stationery > School & Office > Fasteners & Clips","mottaro > mottaro-school-office > mottaro-fasteners-clips",yes
MP165-6,"Motarro Canvas Box 20x30cm","Arts and Crafts > Art Supplies > Canvas > Box","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-box",yes
MK075-1,"Motarro White Glue – 120ml","Stationery > School & Office > Glues and Adhesive Tape > Glues","mottaro > mottaro-school-office > mottaro-glues-adhesive-tape > mottaro-glues",yes
MC008-10,"Motarro Ballpoint Pen – 1.0mm, 4 pcs","Stationery > School & Office > Writing & Correction > Pens and Pencils","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-pens-pencils",yes
MI011-2,"Motarro Paper Cutter A4 – 25x30cm","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
MI034-3,"Motarro Stamp Pad Ink – Red 30ml","Stationery > School & Office > Stamps & Ink","mottaro > mottaro-school-office > mottaro-stamps-ink",yes
MP040-11,"Motarro Acrylic Paint – Cobalt Blue, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MP133-7,"Motarro Canvas Panel 30x30cm","Arts and Crafts > Art Supplies > Canvas > Panel","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-panel",yes
MU132-6,"Motarro Craft Stickers – Animals","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
MA002-3,"Motarro Paperclips – Silver, 50mm, 25 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MP130-50,"Motarro Canvas Stretch A4 – 21x29.7cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
MP080-GRN,"Motarro Brush Wash Cup – Green","Arts and Crafts > Art Supplies > Painting Palettes","mottaro > mottaro-art-supplies > mottaro-painting-palettes",yes
MU289-7,"Motarro Craft Stickers – Aeroplanes","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
MP104,"Motarro Paintbrush – Synthetic Fiber, Set Of 3","Arts and Crafts > Art Supplies > Brushes & Applicators","mottaro > mottaro-art-supplies > mottaro-brushes-applicators",yes
MC002-2,"Motarro Paint Marker – Silver, 0.7mm","Stationery > School & Office > Writing & Correction > Markers and Highlighters","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-markers-highlighters",yes
MP071,"Motarro Easel – 175cm","Arts and Crafts > Art Supplies > Easels","mottaro > mottaro-art-supplies > mottaro-easels",yes
ME139-6,"Motarro – Crepe Filament Paper, Green, 20g","Arts and Crafts > Crafts > Shredded and Crepe","mottaro > mottaro-crafts > mottaro-shredded-crepe",yes
MO031-4,"MOTARRO TRIPOD WHITEBOARD | 25x48cm (MO031-4)","Stationery > School & Office > Boards & Markers","mottaro > mottaro-school-office > mottaro-boards-markers",yes
